,model,step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa,fomc_std,scienceqa_std,numgluecm_std,entropy_mean,margin_mean,kl_to_base_mean,entropy_mean_std,margin_mean_std,kl_to_base_mean_std,Current task,curr_accuracy,curr_accuracy_std,delta_curr_vs_base,delta_curr_vs_base_std,avg_over_all_tasks,avg_over_all_tasks_std,next_task,op,op_std,bwt,bwt_std,fwt,fwt_std
0,qwen,0,Base,base,0.250,0.370,0.520,0.000,0.000,0.000,1.061,1.693,0.000,0.000,0.000,0.000,—,—,,—,,0.380,0.000,task_3,—,,—,,0.000,0.000
1,qwen,1,After task_3,task_3,0.287,0.185,0.693,0.012,0.035,0.098,1.205,0.719,3.200,0.011,0.038,0.120,task_3,0.185,0.098,-0.185,0.098,0.388,0.035,task_2,0.185,0.098,—,,0.105,0.018
2,qwen,2,After task_2,task_2,0.287,0.235,0.817,0.029,0.012,0.037,0.948,1.016,3.018,0.041,0.149,0.041,task_2,0.817,0.012,0.297,0.012,0.446,0.007,task_1,0.526,0.014,0.049,0.074,0.037,0.029
3,qwen,3,After task_1,task_1,0.620,0.255,0.820,0.035,0.010,0.056,0.857,1.533,3.355,0.064,0.382,0.081,task_1,0.620,0.035,0.370,0.035,0.565,0.020,—,0.565,0.020,0.037,0.026,—,
0,gemma,0,Base,base,0.220,0.370,0.620,0.000,0.000,0.000,0.118,8.318,0.000,0.000,0.000,0.000,—,—,,—,,0.403,0.000,task_3,—,,—,,0.000,0.000
1,gemma,1,After task_3,task_3,0.220,0.095,0.653,0.000,0.006,0.026,0.559,3.770,4.318,0.041,0.176,0.162,task_3,0.095,0.026,-0.276,0.026,0.323,0.010,task_2,0.095,0.026,—,,0.017,0.003
2,gemma,2,After task_2,task_2,0.220,0.099,0.677,0.000,0.047,0.012,0.955,1.425,5.410,0.125,0.307,0.412,task_2,0.677,0.047,0.057,0.047,0.332,0.015,task_1,0.388,0.023,0.004,0.031,0.000,0.000
3,gemma,3,After task_1,task_1,0.483,0.091,0.647,0.060,0.059,0.031,1.174,0.659,7.448,0.126,0.203,0.080,task_1,0.483,0.060,0.263,0.060,0.407,0.029,—,0.407,0.029,-0.017,0.028,—,
0,llama,0,Base,base,0.250,0.506,0.520,0.000,0.000,0.000,1.587,1.305,0.000,0.000,0.000,0.000,—,—,,—,,0.425,0.000,task_3,—,,—,,0.000,0.000
1,llama,1,After task_3,task_3,0.250,0.214,0.590,0.000,0.040,0.019,2.222,0.412,2.778,0.071,0.034,0.025,task_3,0.214,0.019,-0.292,0.019,0.351,0.013,task_2,0.214,0.019,—,,0.035,0.020
2,llama,2,After task_2,task_2,0.287,0.165,0.823,0.055,0.012,0.019,1.264,1.163,3.126,0.035,0.216,0.006,task_2,0.823,0.012,0.303,0.012,0.425,0.020,task_1,0.494,0.004,-0.049,0.012,0.037,0.055
3,llama,3,After task_1,task_1,0.560,0.156,0.793,0.020,0.035,0.019,1.397,0.833,3.170,0.120,0.140,0.066,task_1,0.560,0.020,0.310,0.020,0.503,0.012,—,0.503,0.012,-0.044,0.010,—,
