seed,step,checkpoint,checkpoint_task,op,bwt,forgetting,fwt,next_task,next_fwt,avg_all_tasks,bwt_by_task,forgetting_by_task,fwt_by_task,learning_accuracy,learning_accuracy_by_task,current_task,current_acc,current_base_acc,current_prev_acc,current_delta_vs_base,adaptation_gain
33,0,Base,base,,,,0.0,task_1,0.0,0.40345679012345675,{},{},"{""task_1"": 0.0, ""task_2"": 0.0, ""task_3"": 0.0}",0.4793827160493827,"{""task_1"": 0.56, ""task_2"": 0.73, ""task_3"": 0.1481481481481481}",,,,,,
33,1,After task_1,task_1,0.56,,,0.017654320987654376,task_2,0.06000000000000005,0.528559670781893,{},{},"{""task_2"": 0.06000000000000005, ""task_3"": -0.0246913580246913}",0.4793827160493827,"{""task_1"": 0.56, ""task_2"": 0.73, ""task_3"": 0.1481481481481481}",task_1,0.56,0.22,0.22,0.3400000000000001,0.3400000000000001
33,2,After task_2,task_2,0.55,-0.19000000000000006,0.19000000000000006,-0.012345679012345678,task_3,-0.012345679012345678,0.4860082304526749,"{""task_1"": -0.19000000000000006}","{""task_1"": 0.19000000000000006}","{""task_3"": -0.012345679012345678}",0.4793827160493827,"{""task_1"": 0.56, ""task_2"": 0.73, ""task_3"": 0.1481481481481481}",task_2,0.73,0.62,0.68,0.10999999999999999,0.04999999999999993
33,3,After task_3,task_3,0.352716049382716,-0.19,0.19,,,,0.352716049382716,"{""task_1"": -0.32000000000000006, ""task_2"": -0.05999999999999994}","{""task_1"": 0.32000000000000006, ""task_2"": 0.05999999999999994}",{},0.4793827160493827,"{""task_1"": 0.56, ""task_2"": 0.73, ""task_3"": 0.1481481481481481}",task_3,0.1481481481481481,0.3703703703703703,0.3580246913580246,-0.22222222222222218,-0.2098765432098765
42,0,Base,base,,,,0.0,task_1,0.0,0.40345679012345675,{},{},"{""task_1"": 0.0, ""task_2"": 0.0, ""task_3"": 0.0}",0.432716049382716,"{""task_1"": 0.54, ""task_2"": 0.61, ""task_3"": 0.1481481481481481}",,,,,,
42,1,After task_1,task_1,0.54,,,-0.0011728395061728347,task_2,0.010000000000000009,0.5093415637860083,{},{},"{""task_2"": 0.010000000000000009, ""task_3"": -0.012345679012345678}",0.432716049382716,"{""task_1"": 0.54, ""task_2"": 0.61, ""task_3"": 0.1481481481481481}",task_1,0.54,0.22,0.22,0.32000000000000006,0.32000000000000006
42,2,After task_2,task_2,0.45999999999999996,-0.23000000000000004,0.23000000000000004,-0.04938271604938271,task_3,-0.04938271604938271,0.4136625514403292,"{""task_1"": -0.23000000000000004}","{""task_1"": 0.23000000000000004}","{""task_3"": -0.04938271604938271}",0.432716049382716,"{""task_1"": 0.54, ""task_2"": 0.61, ""task_3"": 0.1481481481481481}",task_2,0.61,0.62,0.63,-0.010000000000000009,-0.020000000000000018
42,3,After task_3,task_3,0.29604938271604936,-0.20500000000000002,0.20500000000000002,,,,0.29604938271604936,"{""task_1"": -0.29000000000000004, ""task_2"": -0.12}","{""task_1"": 0.29000000000000004, ""task_2"": 0.12}",{},0.432716049382716,"{""task_1"": 0.54, ""task_2"": 0.61, ""task_3"": 0.1481481481481481}",task_3,0.1481481481481481,0.3703703703703703,0.3209876543209876,-0.22222222222222218,-0.17283950617283947
123,0,Base,base,,,,0.0,task_1,0.0,0.40345679012345675,{},{},"{""task_1"": 0.0, ""task_2"": 0.0, ""task_3"": 0.0}",0.4337037037037037,"{""task_1"": 0.54, ""task_2"": 0.65, ""task_3"": 0.1111111111111111}",,,,,,
123,1,After task_1,task_1,0.54,,,0.026172839506172857,task_2,0.040000000000000036,0.5275720164609053,{},{},"{""task_2"": 0.040000000000000036, ""task_3"": 0.012345679012345678}",0.4337037037037037,"{""task_1"": 0.54, ""task_2"": 0.65, ""task_3"": 0.1111111111111111}",task_1,0.54,0.22,0.22,0.32000000000000006,0.32000000000000006
123,2,After task_2,task_2,0.45,-0.29000000000000004,0.29000000000000004,-0.0246913580246913,task_3,-0.0246913580246913,0.4152263374485597,"{""task_1"": -0.29000000000000004}","{""task_1"": 0.29000000000000004}","{""task_3"": -0.0246913580246913}",0.4337037037037037,"{""task_1"": 0.54, ""task_2"": 0.65, ""task_3"": 0.1111111111111111}",task_2,0.65,0.62,0.66,0.030000000000000027,-0.010000000000000009
123,3,After task_3,task_3,0.3103703703703704,-0.185,0.185,,,,0.3103703703703704,"{""task_1"": -0.28, ""task_2"": -0.08999999999999997}","{""task_1"": 0.28, ""task_2"": 0.08999999999999997}",{},0.4337037037037037,"{""task_1"": 0.54, ""task_2"": 0.65, ""task_3"": 0.1111111111111111}",task_3,0.1111111111111111,0.3703703703703703,0.345679012345679,-0.2592592592592592,-0.2345679012345679
