seed,step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
33,0,Base,base,0.22,0.3703703703703703,0.62
33,1,After task_3,task_3,0.22,0.0864197530864197,0.65
33,2,After task_2,task_2,0.22,0.0864197530864197,0.66
33,3,After task_1,task_1,0.49,0.0617283950617283,0.69
42,0,Base,base,0.22,0.3703703703703703,0.62
42,1,After task_3,task_3,0.22,0.074074074074074,0.65
42,2,After task_2,task_2,0.22,0.1111111111111111,0.64
42,3,After task_1,task_1,0.42,0.1234567901234567,0.58
123,0,Base,base,0.22,0.3703703703703703,0.62
123,1,After task_3,task_3,0.22,0.1234567901234567,0.66
123,2,After task_2,task_2,0.22,0.0987654320987654,0.73
123,3,After task_1,task_1,0.54,0.0864197530864197,0.67
