seed,step,checkpoint_task,num_reference_examples,entropy_mean,entropy_p95,entropy_p10,margin_mean,margin_p95,margin_p10,kl_to_base_mean,kl_to_base_p95,kl_to_base_p10,source_file,checkpoint,entropy_mean_delta_vs_base,entropy_p95_delta_vs_base,margin_mean_delta_vs_base,margin_p95_delta_vs_base,kl_to_base_mean_delta_vs_base,kl_to_base_p95_delta_vs_base
33,0,base,48,1.883574604988098,3.603475570678711,0.130217432975769,2.2096354961395264,9.73436450958252,0.125,0.0,0.0,0.0,outputs/llama32_1b_paper/stability_seed_33/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
33,1,task_1,48,1.6447652578353882,3.7225451469421382,0.1084613874554634,2.0130207538604736,9.978113174438477,0.125,0.1875879168510437,0.802014946937561,0.0002664896310307,outputs/llama32_1b_paper/stability_seed_33/stability_scores.csv,After task_1,-0.23880934715270974,0.11906957626342729,-0.19661474227905273,0.24374866485595703,0.1875879168510437,0.802014946937561
33,2,task_2,48,1.6186213493347168,3.609966516494751,0.0639699921011924,2.2356770038604736,10.649986267089844,0.125,0.2497204542160034,0.9052491784095764,0.0012030096258968,outputs/llama32_1b_paper/stability_seed_33/stability_scores.csv,After task_2,-0.2649532556533811,0.006490945816040039,0.026041507720947266,0.9156217575073242,0.2497204542160034,0.9052491784095764
33,3,task_3,48,1.9248665571212769,5.118320465087891,0.0878940299153328,2.26953125,9.462489128112791,0.4250000715255737,0.5205395817756653,1.4147233963012695,0.008639158681035,outputs/llama32_1b_paper/stability_seed_33/stability_scores.csv,After task_3,0.04129195213317893,1.5148448944091797,0.05989575386047363,-0.27187538146972834,0.5205395817756653,1.4147233963012695
42,0,base,48,1.883574604988098,3.603475570678711,0.130217432975769,2.2096354961395264,9.73436450958252,0.125,0.0,0.0,0.0,outputs/llama32_1b_paper/stability_seed_42/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
42,1,task_1,48,1.6448005437850952,3.777564525604248,0.1238758414983749,2.07421875,9.978113174438477,0.3375000059604645,0.2129225581884384,0.9184534549713136,0.000149139916175,outputs/llama32_1b_paper/stability_seed_42/stability_scores.csv,After task_1,-0.2387740612030027,0.1740889549255371,-0.13541674613952637,0.24374866485595703,0.2129225581884384,0.9184534549713136
42,2,task_2,48,1.6066861152648926,3.7230396270751953,0.0632286146283149,2.28515625,10.487486839294434,0.2499999850988388,0.2611218392848968,0.9669110178947448,0.0006125415675342,outputs/llama32_1b_paper/stability_seed_42/stability_scores.csv,After task_2,-0.27688848972320534,0.11956405639648438,0.07552075386047363,0.7531223297119141,0.2611218392848968,0.9669110178947448
42,3,task_3,48,1.860135555267334,4.938921451568604,0.0902635678648948,2.375,9.712489128112791,0.4625000357627868,0.6286978125572205,1.7209985256195068,0.0045429575257003,outputs/llama32_1b_paper/stability_seed_42/stability_scores.csv,After task_3,-0.023439049720763938,1.3354458808898935,0.16536450386047363,-0.02187538146972834,0.6286978125572205,1.7209985256195068
123,0,base,48,1.883574604988098,3.603475570678711,0.130217432975769,2.2096354961395264,9.73436450958252,0.125,0.0,0.0,0.0,outputs/llama32_1b_paper/stability_seed_123/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
123,1,task_1,48,1.6409296989440918,3.733296394348145,0.1137226819992065,2.0481770038604736,10.118738174438477,0.3375000357627868,0.1952660083770752,0.9044443368911744,0.0001178019447252,outputs/llama32_1b_paper/stability_seed_123/stability_scores.csv,After task_1,-0.24264490604400613,0.12982082366943404,-0.16145849227905273,0.38437366485595703,0.1952660083770752,0.9044443368911744
123,2,task_2,48,1.583891987800598,3.608999967575073,0.0511202253401279,2.3268229961395264,11.174989700317385,0.125,0.2630608975887298,1.0073796510696411,0.0015206006355583,outputs/llama32_1b_paper/stability_seed_123/stability_scores.csv,After task_2,-0.2996826171875,0.005524396896361861,0.1171875,1.440625190734865,0.2630608975887298,1.0073796510696411
123,3,task_3,48,1.874594807624817,5.021240234375,0.088408924639225,2.328125,9.718740463256836,0.4625000059604645,0.740485668182373,2.1158339977264404,0.0093127619475126,outputs/llama32_1b_paper/stability_seed_123/stability_scores.csv,After task_3,-0.008979797363281028,1.417764663696289,0.11848950386047363,-0.015624046325683594,0.740485668182373,2.1158339977264404
