seed,step,checkpoint_task,num_reference_examples,entropy_mean,entropy_p95,entropy_p10,margin_mean,margin_p95,margin_p10,kl_to_base_mean,kl_to_base_p95,kl_to_base_p10,source_file,checkpoint,entropy_mean_delta_vs_base,entropy_p95_delta_vs_base,margin_mean_delta_vs_base,margin_p95_delta_vs_base,kl_to_base_mean_delta_vs_base,kl_to_base_p95_delta_vs_base
33,0,base,48,1.883574604988098,3.603475570678711,0.130217432975769,2.2096354961395264,9.73436450958252,0.125,0.0,0.0,0.0,outputs/llama32_1b_paper_321/stability_seed_33/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
33,1,task_3,48,2.314414024353028,4.917266368865967,0.3507573306560516,1.8619791269302368,10.05936050415039,0.125,0.2820650339126587,0.9886507391929626,0.0079646501690149,outputs/llama32_1b_paper_321/stability_seed_33/stability_scores.csv,After task_3,0.43083941936492987,1.3137907981872559,-0.34765636920928955,0.3249959945678711,0.2820650339126587,0.9886507391929626
33,2,task_2,48,1.9682493209838867,4.438458442687988,0.1265870034694671,2.0807292461395264,9.787487983703612,0.2499999850988388,0.3983477652072906,1.5960657596588137,0.0063850167207419,outputs/llama32_1b_paper_321/stability_seed_33/stability_scores.csv,After task_2,0.0846747159957888,0.8349828720092773,-0.12890625,0.053123474121091974,0.3983477652072906,1.5960657596588137
33,3,task_1,48,1.9408222436904907,4.435551166534424,0.1552146822214126,2.0130207538604736,9.868738174438477,0.25,0.4951551854610443,1.4218133687973022,0.0110809551551938,outputs/llama32_1b_paper_321/stability_seed_33/stability_scores.csv,After task_1,0.0572476387023928,0.8320755958557129,-0.19661474227905273,0.13437366485595703,0.4951551854610443,1.4218133687973022
42,0,base,48,1.883574604988098,3.603475570678711,0.130217432975769,2.2096354961395264,9.73436450958252,0.125,0.0,0.0,0.0,outputs/llama32_1b_paper_321/stability_seed_42/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
42,1,task_3,48,2.328152894973755,4.905452251434326,0.3380866348743438,1.9049478769302368,10.2843599319458,0.2125000655651092,0.2778979837894439,1.0200848579406738,0.009122984483838,outputs/llama32_1b_paper_321/stability_seed_42/stability_scores.csv,After task_3,0.44457828998565696,1.3019766807556152,-0.30468761920928955,0.5499954223632812,0.2778979837894439,1.0200848579406738
42,2,task_2,48,1.955821633338928,4.691395282745361,0.1177840009331703,2.0807292461395264,10.068737030029297,0.125,0.4675962626934051,1.819429874420166,0.0081423912197351,outputs/llama32_1b_paper_321/stability_seed_42/stability_scores.csv,After task_2,0.07224702835083008,1.0879197120666504,-0.12890625,0.33437252044677734,0.4675962626934051,1.819429874420166
42,3,task_1,48,2.003645181655884,4.968149662017822,0.2638660073280334,1.9427083730697632,9.943737030029297,0.25,0.5848020315170288,2.084099769592285,0.0078717749565839,outputs/llama32_1b_paper_321/stability_seed_42/stability_scores.csv,After task_1,0.12007057666778587,1.3646740913391113,-0.2669271230697632,0.20937252044677734,0.5848020315170288,2.084099769592285
123,0,base,48,1.883574604988098,3.603475570678711,0.130217432975769,2.2096354961395264,9.73436450958252,0.125,0.0,0.0,0.0,outputs/llama32_1b_paper_321/stability_seed_123/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
123,1,task_3,48,2.311204671859741,4.790674686431885,0.3105210065841675,1.8841146230697632,10.265609741210938,0.125,0.2719367742538452,0.9160033464431764,0.0075999177061021,outputs/llama32_1b_paper_321/stability_seed_123/stability_scores.csv,After task_3,0.4276300668716433,1.1871991157531738,-0.3255208730697632,0.531245231628418,0.2719367742538452,0.9160033464431764
123,2,task_2,48,1.890307903289795,4.432459354400635,0.0726160481572151,2.1901042461395264,10.312491416931152,0.25,0.3983921110630035,1.4820884466171265,0.0078401016071438,outputs/llama32_1b_paper_321/stability_seed_123/stability_scores.csv,After task_2,0.006733298301696999,0.8289837837219238,-0.01953125,0.5781269073486328,0.3983921110630035,1.4820884466171265
123,3,task_1,48,1.93025016784668,4.558829307556152,0.1163147911429405,2.01171875,9.949987411499023,0.3375000059604645,0.4709837138652801,1.2873573303222656,0.0101895164698362,outputs/llama32_1b_paper_321/stability_seed_123/stability_scores.csv,After task_1,0.04667556285858199,0.9553537368774414,-0.19791674613952637,0.2156229019165039,0.4709837138652801,1.2873573303222656
