seed,step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
33,0,Base,base,0.25,0.3703703703703703,0.52
33,1,After task_1,task_1,0.45,0.3580246913580246,0.68
33,2,After task_2,task_2,0.5,0.5185185185185185,0.8
33,3,After task_3,task_3,0.53,0.4320987654320987,0.82
42,0,Base,base,0.25,0.3703703703703703,0.52
42,1,After task_1,task_1,0.6,0.382716049382716,0.68
42,2,After task_2,task_2,0.52,0.4814814814814814,0.8
42,3,After task_3,task_3,0.59,0.3209876543209876,0.82
123,0,Base,base,0.25,0.3703703703703703,0.52
123,1,After task_1,task_1,0.55,0.3950617283950617,0.62
123,2,After task_2,task_2,0.6,0.4691358024691358,0.8
123,3,After task_3,task_3,0.61,0.382716049382716,0.81
