seed,step,checkpoint_task,num_reference_examples,entropy_mean,entropy_p95,entropy_p10,margin_mean,margin_p95,margin_p10,kl_to_base_mean,kl_to_base_p95,kl_to_base_p10,source_file,checkpoint,entropy_mean_delta_vs_base,entropy_p95_delta_vs_base,margin_mean_delta_vs_base,margin_p95_delta_vs_base,kl_to_base_mean_delta_vs_base,kl_to_base_p95_delta_vs_base
33,0,base,48,2.031415700912476,4.95022439956665,0.4413862228393554,1.96484375,9.849985122680664,0.212500050663948,0.0,0.0,0.0,outputs/qwen35_08b_paper/stability_seed_33/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
33,1,task_1,48,1.948369383811951,4.883022785186768,0.4070148468017578,1.68359375,6.637495994567871,0.125,0.0841680169105529,0.3079553246498108,0.0017118933610618,outputs/qwen35_08b_paper/stability_seed_33/stability_scores.csv,After task_1,-0.08304631710052512,-0.06720161437988281,-0.28125,-3.212489128112793,0.0841680169105529,0.3079553246498108
33,2,task_2,48,1.810821533203125,4.679657459259033,0.2054280489683151,1.87890625,5.762495994567871,0.125,0.0900157988071441,0.273562341928482,0.003769680391997,outputs/qwen35_08b_paper/stability_seed_33/stability_scores.csv,After task_2,-0.22059416770935103,-0.2705669403076172,-0.0859375,-4.087489128112793,0.0900157988071441,0.273562341928482
33,3,task_3,48,1.8091073036193848,4.850688934326172,0.3977226614952087,1.6979166269302368,5.849996566772461,0.125,0.2607621252536773,0.4423696994781494,0.0071095451712608,outputs/qwen35_08b_paper/stability_seed_33/stability_scores.csv,After task_3,-0.22230839729309126,-0.09953546524047852,-0.2669271230697632,-3.999988555908203,0.2607621252536773,0.4423696994781494
42,0,base,48,2.031415700912476,4.95022439956665,0.4413862228393554,1.96484375,9.849985122680664,0.212500050663948,0.0,0.0,0.0,outputs/qwen35_08b_paper/stability_seed_42/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
42,1,task_1,48,1.872875690460205,4.978768348693848,0.3551226854324341,1.8828125,6.149997711181641,0.125,0.1445623189210891,0.8527989387512207,0.0010137830395251,outputs/qwen35_08b_paper/stability_seed_42/stability_scores.csv,After task_1,-0.15854001045227095,0.028543949127197266,-0.08203125,-3.6999874114990234,0.1445623189210891,0.8527989387512207
42,2,task_2,48,1.7861815690994265,4.765397071838379,0.1605460196733474,2.01171875,7.174995422363281,0.125,0.0989348068833351,0.4650673270225525,0.0027067454066127,outputs/qwen35_08b_paper/stability_seed_42/stability_scores.csv,After task_2,-0.24523413181304954,-0.18482732772827148,0.046875,-2.674989700317383,0.0989348068833351,0.4650673270225525
42,3,task_3,48,1.8166909217834477,4.982996940612793,0.2785454392433166,1.8515625,5.715622901916504,0.125,0.20733343064785,0.5878840088844299,0.0033178313169628,outputs/qwen35_08b_paper/stability_seed_42/stability_scores.csv,After task_3,-0.21472477912902832,0.03277254104614258,-0.11328125,-4.13436222076416,0.20733343064785,0.5878840088844299
123,0,base,48,2.031415700912476,4.95022439956665,0.4413862228393554,1.96484375,9.849985122680664,0.212500050663948,0.0,0.0,0.0,outputs/qwen35_08b_paper/stability_seed_123/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
123,1,task_1,48,1.8700170516967771,4.9744873046875,0.1788251101970672,1.9817708730697632,6.718745708465576,0.125,0.2378543466329574,1.280869960784912,0.0012346692383289,outputs/qwen35_08b_paper/stability_seed_123/stability_scores.csv,After task_1,-0.1613986492156989,0.02426290512084961,0.016927123069763184,-3.131239414215088,0.2378543466329574,1.280869960784912
123,2,task_2,48,1.832911491394043,4.799108028411865,0.2578829526901245,1.8645833730697632,5.562497138977051,0.125,0.1458206921815872,0.6070842146873474,0.0027314897160977,outputs/qwen35_08b_paper/stability_seed_123/stability_scores.csv,After task_2,-0.19850420951843306,-0.15111637115478516,-0.10026037693023682,-4.287487983703613,0.1458206921815872,0.6070842146873474
123,3,task_3,48,1.8313466310501096,4.954626560211182,0.3945631682872772,1.7838541269302368,5.656248569488525,0.1249999850988388,0.4314762651920318,0.9468115568161012,0.0058786608278751,outputs/qwen35_08b_paper/stability_seed_123/stability_scores.csv,After task_3,-0.2000690698623664,0.00440216064453125,-0.18098962306976318,-4.193736553192139,0.4314762651920318,0.9468115568161012
