seed,step,checkpoint,checkpoint_task,op,bwt,forgetting,fwt,next_task,next_fwt,avg_all_tasks,bwt_by_task,forgetting_by_task,fwt_by_task,learning_accuracy,learning_accuracy_by_task,current_task,current_acc,current_base_acc,current_prev_acc,current_delta_vs_base,adaptation_gain
33,0,Base,base,,,,0.0,task_3,0.0,0.40345679012345675,{},{},"{""task_3"": 0.0, ""task_2"": 0.0, ""task_1"": 0.0}",0.41213991769547326,"{""task_3"": 0.0864197530864197, ""task_2"": 0.66, ""task_1"": 0.49}",,,,,,
33,1,After task_3,task_3,0.0864197530864197,,,0.015000000000000013,task_2,0.030000000000000027,0.3188065843621399,{},{},"{""task_2"": 0.030000000000000027, ""task_1"": 0.0}",0.41213991769547326,"{""task_3"": 0.0864197530864197, ""task_2"": 0.66, ""task_1"": 0.49}",task_3,0.0864197530864197,0.3703703703703703,0.3703703703703703,-0.2839506172839506,-0.2839506172839506
33,2,After task_2,task_2,0.37320987654320986,0.0,0.0,0.0,task_1,0.0,0.32213991769547323,"{""task_3"": 0.0}","{""task_3"": -0.0}","{""task_1"": 0.0}",0.41213991769547326,"{""task_3"": 0.0864197530864197, ""task_2"": 0.66, ""task_1"": 0.49}",task_2,0.66,0.62,0.65,0.040000000000000036,0.010000000000000009
33,3,After task_1,task_1,0.4139094650205761,0.002654320987654255,-0.002654320987654255,,,,0.4139094650205761,"{""task_3"": -0.024691358024691405, ""task_2"": 0.029999999999999916}","{""task_3"": 0.024691358024691405, ""task_2"": -0.029999999999999916}",{},0.41213991769547326,"{""task_3"": 0.0864197530864197, ""task_2"": 0.66, ""task_1"": 0.49}",task_1,0.49,0.22,0.22,0.27,0.27
42,0,Base,base,,,,0.0,task_3,0.0,0.40345679012345675,{},{},"{""task_3"": 0.0, ""task_2"": 0.0, ""task_1"": 0.0}",0.3780246913580247,"{""task_3"": 0.074074074074074, ""task_2"": 0.64, ""task_1"": 0.42}",,,,,,
42,1,After task_3,task_3,0.074074074074074,,,0.015000000000000013,task_2,0.030000000000000027,0.31469135802469134,{},{},"{""task_2"": 0.030000000000000027, ""task_1"": 0.0}",0.3780246913580247,"{""task_3"": 0.074074074074074, ""task_2"": 0.64, ""task_1"": 0.42}",task_3,0.074074074074074,0.3703703703703703,0.3703703703703703,-0.2962962962962963,-0.2962962962962963
42,2,After task_2,task_2,0.37555555555555553,0.037037037037037104,-0.037037037037037104,0.0,task_1,0.0,0.3237037037037037,"{""task_3"": 0.037037037037037104}","{""task_3"": -0.037037037037037104}","{""task_1"": 0.0}",0.3780246913580247,"{""task_3"": 0.074074074074074, ""task_2"": 0.64, ""task_1"": 0.42}",task_2,0.64,0.62,0.65,0.020000000000000018,-0.010000000000000009
42,3,After task_1,task_1,0.3744855967078189,-0.005308641975308677,0.005308641975308677,,,,0.3744855967078189,"{""task_3"": 0.0493827160493827, ""task_2"": -0.06000000000000005}","{""task_3"": -0.0493827160493827, ""task_2"": 0.06000000000000005}",{},0.3780246913580247,"{""task_3"": 0.074074074074074, ""task_2"": 0.64, ""task_1"": 0.42}",task_1,0.42,0.22,0.22,0.19999999999999998,0.19999999999999998
123,0,Base,base,,,,0.0,task_3,0.0,0.40345679012345675,{},{},"{""task_3"": 0.0, ""task_2"": 0.0, ""task_1"": 0.0}",0.4644855967078189,"{""task_3"": 0.1234567901234567, ""task_2"": 0.73, ""task_1"": 0.54}",,,,,,
123,1,After task_3,task_3,0.1234567901234567,,,0.020000000000000018,task_2,0.040000000000000036,0.3344855967078189,{},{},"{""task_2"": 0.040000000000000036, ""task_1"": 0.0}",0.4644855967078189,"{""task_3"": 0.1234567901234567, ""task_2"": 0.73, ""task_1"": 0.54}",task_3,0.1234567901234567,0.3703703703703703,0.3703703703703703,-0.2469135802469136,-0.2469135802469136
123,2,After task_2,task_2,0.4143827160493827,-0.0246913580246913,0.0246913580246913,0.0,task_1,0.0,0.34958847736625515,"{""task_3"": -0.0246913580246913}","{""task_3"": 0.0246913580246913}","{""task_1"": 0.0}",0.4644855967078189,"{""task_3"": 0.1234567901234567, ""task_2"": 0.73, ""task_1"": 0.54}",task_2,0.73,0.62,0.66,0.10999999999999999,0.06999999999999995
123,3,After task_1,task_1,0.4321399176954733,-0.04851851851851847,0.04851851851851847,,,,0.4321399176954733,"{""task_3"": -0.03703703703703699, ""task_2"": -0.05999999999999994}","{""task_3"": 0.03703703703703699, ""task_2"": 0.05999999999999994}",{},0.4644855967078189,"{""task_3"": 0.1234567901234567, ""task_2"": 0.73, ""task_1"": 0.54}",task_1,0.54,0.22,0.22,0.32000000000000006,0.32000000000000006
