seed,step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
33,0,Base,base,0.25,0.5061728395061729,0.52
33,1,After task_1,task_1,0.53,0.4444444444444444,0.69
33,2,After task_2,task_2,0.53,0.419753086419753,0.78
33,3,After task_3,task_3,0.55,0.1975308641975308,0.67
42,0,Base,base,0.25,0.5061728395061729,0.52
42,1,After task_1,task_1,0.53,0.419753086419753,0.66
42,2,After task_2,task_2,0.5,0.4444444444444444,0.78
42,3,After task_3,task_3,0.55,0.2592592592592592,0.63
123,0,Base,base,0.25,0.5061728395061729,0.52
123,1,After task_1,task_1,0.53,0.4444444444444444,0.58
123,2,After task_2,task_2,0.49,0.4567901234567901,0.8
123,3,After task_3,task_3,0.53,0.2716049382716049,0.71
