seed,step,checkpoint,checkpoint_task,op,bwt,forgetting,fwt,next_task,next_fwt,avg_all_tasks,bwt_by_task,forgetting_by_task,fwt_by_task,learning_accuracy,learning_accuracy_by_task,current_task,current_acc,current_base_acc,current_prev_acc,current_delta_vs_base,adaptation_gain
33,0,Base,base,,,,0.0,task_1,0.0,0.4253909465020576,{},{},"{""task_1"": 0.0, ""task_2"": 0.0, ""task_3"": 0.0}",0.5025102880658436,"{""task_1"": 0.53, ""task_2"": 0.78, ""task_3"": 0.1975308641975308}",,,,,,
33,1,After task_1,task_1,0.53,,,0.05413580246913574,task_2,0.16999999999999993,0.5548148148148148,{},{},"{""task_2"": 0.16999999999999993, ""task_3"": -0.06172839506172845}",0.5025102880658436,"{""task_1"": 0.53, ""task_2"": 0.78, ""task_3"": 0.1975308641975308}",task_1,0.53,0.25,0.25,0.28,0.28
33,2,After task_2,task_2,0.655,0.0,0.0,-0.08641975308641986,task_3,-0.08641975308641986,0.5765843621399177,"{""task_1"": 0.0}","{""task_1"": -0.0}","{""task_3"": -0.08641975308641986}",0.5025102880658436,"{""task_1"": 0.53, ""task_2"": 0.78, ""task_3"": 0.1975308641975308}",task_2,0.78,0.52,0.69,0.26,0.09000000000000008
33,3,After task_3,task_3,0.4725102880658436,-0.044999999999999984,0.044999999999999984,,,,0.4725102880658436,"{""task_1"": 0.020000000000000018, ""task_2"": -0.10999999999999999}","{""task_1"": -0.020000000000000018, ""task_2"": 0.10999999999999999}",{},0.5025102880658436,"{""task_1"": 0.53, ""task_2"": 0.78, ""task_3"": 0.1975308641975308}",task_3,0.1975308641975308,0.5061728395061729,0.419753086419753,-0.30864197530864207,-0.2222222222222222
42,0,Base,base,,,,0.0,task_1,0.0,0.4253909465020576,{},{},"{""task_1"": 0.0, ""task_2"": 0.0, ""task_3"": 0.0}",0.5230864197530863,"{""task_1"": 0.53, ""task_2"": 0.78, ""task_3"": 0.2592592592592592}",,,,,,
42,1,After task_1,task_1,0.53,,,0.026790123456790077,task_2,0.14,0.5365843621399177,{},{},"{""task_2"": 0.14, ""task_3"": -0.08641975308641986}",0.5230864197530863,"{""task_1"": 0.53, ""task_2"": 0.78, ""task_3"": 0.2592592592592592}",task_1,0.53,0.25,0.25,0.28,0.28
42,2,After task_2,task_2,0.64,-0.030000000000000027,0.030000000000000027,-0.06172839506172845,task_3,-0.06172839506172845,0.5748148148148148,"{""task_1"": -0.030000000000000027}","{""task_1"": 0.030000000000000027}","{""task_3"": -0.06172839506172845}",0.5230864197530863,"{""task_1"": 0.53, ""task_2"": 0.78, ""task_3"": 0.2592592592592592}",task_2,0.78,0.52,0.66,0.26,0.12
42,3,After task_3,task_3,0.47975308641975306,-0.065,0.065,,,,0.47975308641975306,"{""task_1"": 0.020000000000000018, ""task_2"": -0.15000000000000002}","{""task_1"": -0.020000000000000018, ""task_2"": 0.15000000000000002}",{},0.5230864197530863,"{""task_1"": 0.53, ""task_2"": 0.78, ""task_3"": 0.2592592592592592}",task_3,0.2592592592592592,0.5061728395061729,0.4444444444444444,-0.24691358024691368,-0.18518518518518523
123,0,Base,base,,,,0.0,task_1,0.0,0.4253909465020576,{},{},"{""task_1"": 0.0, ""task_2"": 0.0, ""task_3"": 0.0}",0.5338683127572016,"{""task_1"": 0.53, ""task_2"": 0.8, ""task_3"": 0.2716049382716049}",,,,,,
123,1,After task_1,task_1,0.53,,,-0.0008641975308642524,task_2,0.05999999999999994,0.5181481481481481,{},{},"{""task_2"": 0.05999999999999994, ""task_3"": -0.06172839506172845}",0.5338683127572016,"{""task_1"": 0.53, ""task_2"": 0.8, ""task_3"": 0.2716049382716049}",task_1,0.53,0.25,0.25,0.28,0.28
123,2,After task_2,task_2,0.645,-0.040000000000000036,0.040000000000000036,-0.04938271604938277,task_3,-0.04938271604938277,0.5822633744855967,"{""task_1"": -0.040000000000000036}","{""task_1"": 0.040000000000000036}","{""task_3"": -0.04938271604938277}",0.5338683127572016,"{""task_1"": 0.53, ""task_2"": 0.8, ""task_3"": 0.2716049382716049}",task_2,0.8,0.52,0.58,0.28,0.22000000000000008
123,3,After task_3,task_3,0.5038683127572017,-0.04500000000000004,0.04500000000000004,,,,0.5038683127572017,"{""task_1"": 0.0, ""task_2"": -0.09000000000000008}","{""task_1"": -0.0, ""task_2"": 0.09000000000000008}",{},0.5338683127572016,"{""task_1"": 0.53, ""task_2"": 0.8, ""task_3"": 0.2716049382716049}",task_3,0.2716049382716049,0.5061728395061729,0.4567901234567901,-0.23456790123456794,-0.18518518518518517
