seed,step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
33,0,Base,base,0.25,0.5061728395061729,0.52
33,1,After task_3,task_3,0.25,0.2098765432098765,0.55
33,2,After task_2,task_2,0.26,0.1481481481481481,0.83
33,3,After task_1,task_1,0.58,0.1358024691358024,0.83
42,0,Base,base,0.25,0.5061728395061729,0.52
42,1,After task_3,task_3,0.25,0.2345679012345679,0.59
42,2,After task_2,task_2,0.35,0.1851851851851851,0.81
42,3,After task_1,task_1,0.54,0.1728395061728395,0.76
123,0,Base,base,0.25,0.5061728395061729,0.52
123,1,After task_3,task_3,0.25,0.1975308641975308,0.63
123,2,After task_2,task_2,0.25,0.1604938271604938,0.83
123,3,After task_1,task_1,0.56,0.1604938271604938,0.79
