seed,step,checkpoint,checkpoint_task,op,bwt,forgetting,fwt,next_task,next_fwt,avg_all_tasks,bwt_by_task,forgetting_by_task,fwt_by_task,learning_accuracy,learning_accuracy_by_task,current_task,current_acc,current_base_acc,current_prev_acc,current_delta_vs_base,adaptation_gain
33,0,Base,base,,,,0.0,task_3,0.0,0.4253909465020576,{},{},"{""task_3"": 0.0, ""task_2"": 0.0, ""task_1"": 0.0}",0.5399588477366255,"{""task_3"": 0.2098765432098765, ""task_2"": 0.83, ""task_1"": 0.58}",,,,,,
33,1,After task_3,task_3,0.2098765432098765,,,0.015000000000000013,task_2,0.030000000000000027,0.3366255144032922,{},{},"{""task_2"": 0.030000000000000027, ""task_1"": 0.0}",0.5399588477366255,"{""task_3"": 0.2098765432098765, ""task_2"": 0.83, ""task_1"": 0.58}",task_3,0.2098765432098765,0.5061728395061729,0.5061728395061729,-0.2962962962962964,-0.2962962962962964
33,2,After task_2,task_2,0.48907407407407405,-0.06172839506172839,0.06172839506172839,0.010000000000000009,task_1,0.010000000000000009,0.412716049382716,"{""task_3"": -0.06172839506172839}","{""task_3"": 0.06172839506172839}","{""task_1"": 0.010000000000000009}",0.5399588477366255,"{""task_3"": 0.2098765432098765, ""task_2"": 0.83, ""task_1"": 0.58}",task_2,0.83,0.52,0.55,0.30999999999999994,0.2799999999999999
33,3,After task_1,task_1,0.5152674897119341,-0.03703703703703705,0.03703703703703705,,,,0.5152674897119341,"{""task_3"": -0.0740740740740741, ""task_2"": 0.0}","{""task_3"": 0.0740740740740741, ""task_2"": -0.0}",{},0.5399588477366255,"{""task_3"": 0.2098765432098765, ""task_2"": 0.83, ""task_1"": 0.58}",task_1,0.58,0.25,0.26,0.32999999999999996,0.31999999999999995
42,0,Base,base,,,,0.0,task_3,0.0,0.4253909465020576,{},{},"{""task_3"": 0.0, ""task_2"": 0.0, ""task_1"": 0.0}",0.5281893004115227,"{""task_3"": 0.2345679012345679, ""task_2"": 0.81, ""task_1"": 0.54}",,,,,,
42,1,After task_3,task_3,0.2345679012345679,,,0.034999999999999976,task_2,0.06999999999999995,0.35818930041152264,{},{},"{""task_2"": 0.06999999999999995, ""task_1"": 0.0}",0.5281893004115227,"{""task_3"": 0.2345679012345679, ""task_2"": 0.81, ""task_1"": 0.54}",task_3,0.2345679012345679,0.5061728395061729,0.5061728395061729,-0.271604938271605,-0.271604938271605
42,2,After task_2,task_2,0.4975925925925926,-0.0493827160493828,0.0493827160493828,0.09999999999999998,task_1,0.09999999999999998,0.448395061728395,"{""task_3"": -0.0493827160493828}","{""task_3"": 0.0493827160493828}","{""task_1"": 0.09999999999999998}",0.5281893004115227,"{""task_3"": 0.2345679012345679, ""task_2"": 0.81, ""task_1"": 0.54}",task_2,0.81,0.52,0.59,0.29000000000000004,0.22000000000000008
42,3,After task_1,task_1,0.4909465020576132,-0.05586419753086422,0.05586419753086422,,,,0.4909465020576132,"{""task_3"": -0.06172839506172839, ""task_2"": -0.050000000000000044}","{""task_3"": 0.06172839506172839, ""task_2"": 0.050000000000000044}",{},0.5281893004115227,"{""task_3"": 0.2345679012345679, ""task_2"": 0.81, ""task_1"": 0.54}",task_1,0.54,0.25,0.35,0.29000000000000004,0.19000000000000006
123,0,Base,base,,,,0.0,task_3,0.0,0.4253909465020576,{},{},"{""task_3"": 0.0, ""task_2"": 0.0, ""task_1"": 0.0}",0.5291769547325103,"{""task_3"": 0.1975308641975308, ""task_2"": 0.83, ""task_1"": 0.56}",,,,,,
123,1,After task_3,task_3,0.1975308641975308,,,0.05499999999999999,task_2,0.10999999999999999,0.35917695473251027,{},{},"{""task_2"": 0.10999999999999999, ""task_1"": 0.0}",0.5291769547325103,"{""task_3"": 0.1975308641975308, ""task_2"": 0.83, ""task_1"": 0.56}",task_3,0.1975308641975308,0.5061728395061729,0.5061728395061729,-0.30864197530864207,-0.30864197530864207
123,2,After task_2,task_2,0.49524691358024686,-0.03703703703703701,0.03703703703703701,0.0,task_1,0.0,0.41349794238683124,"{""task_3"": -0.03703703703703701}","{""task_3"": 0.03703703703703701}","{""task_1"": 0.0}",0.5291769547325103,"{""task_3"": 0.1975308641975308, ""task_2"": 0.83, ""task_1"": 0.56}",task_2,0.83,0.52,0.63,0.30999999999999994,0.19999999999999996
123,3,After task_1,task_1,0.5034979423868313,-0.038518518518518466,0.038518518518518466,,,,0.5034979423868313,"{""task_3"": -0.03703703703703701, ""task_2"": -0.039999999999999925}","{""task_3"": 0.03703703703703701, ""task_2"": 0.039999999999999925}",{},0.5291769547325103,"{""task_3"": 0.1975308641975308, ""task_2"": 0.83, ""task_1"": 0.56}",task_1,0.56,0.25,0.25,0.31000000000000005,0.31000000000000005
