seed,step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
33,0,Base,base,0.22,0.3703703703703703,0.62
33,1,After task_1,task_1,0.56,0.345679012345679,0.68
33,2,After task_2,task_2,0.37,0.3580246913580246,0.73
33,3,After task_3,task_3,0.24,0.1481481481481481,0.67
42,0,Base,base,0.22,0.3703703703703703,0.62
42,1,After task_1,task_1,0.54,0.3580246913580246,0.63
42,2,After task_2,task_2,0.31,0.3209876543209876,0.61
42,3,After task_3,task_3,0.25,0.1481481481481481,0.49
123,0,Base,base,0.22,0.3703703703703703,0.62
123,1,After task_1,task_1,0.54,0.382716049382716,0.66
123,2,After task_2,task_2,0.25,0.345679012345679,0.65
123,3,After task_3,task_3,0.26,0.1111111111111111,0.56
