seed,step,checkpoint,checkpoint_task,op,bwt,forgetting,fwt,next_task,next_fwt,avg_all_tasks,bwt_by_task,forgetting_by_task,fwt_by_task,learning_accuracy,learning_accuracy_by_task,current_task,current_acc,current_base_acc,current_prev_acc,current_delta_vs_base,adaptation_gain
33,0,Base,base,,,,0.0,task_1,0.0,0.38012345679012344,{},{},"{""task_1"": 0.0, ""task_2"": 0.0, ""task_3"": 0.0}",0.5606995884773662,"{""task_1"": 0.45, ""task_2"": 0.8, ""task_3"": 0.4320987654320987}",,,,,,
33,1,After task_1,task_1,0.45,,,0.07382716049382718,task_2,0.16000000000000003,0.4960082304526749,{},{},"{""task_2"": 0.16000000000000003, ""task_3"": -0.012345679012345678}",0.5606995884773662,"{""task_1"": 0.45, ""task_2"": 0.8, ""task_3"": 0.4320987654320987}",task_1,0.45,0.25,0.25,0.2,0.2
33,2,After task_2,task_2,0.65,0.04999999999999999,-0.04999999999999999,0.1481481481481482,task_3,0.1481481481481482,0.6061728395061728,"{""task_1"": 0.04999999999999999}","{""task_1"": -0.04999999999999999}","{""task_3"": 0.1481481481481482}",0.5606995884773662,"{""task_1"": 0.45, ""task_2"": 0.8, ""task_3"": 0.4320987654320987}",task_2,0.8,0.52,0.68,0.28,0.12
33,3,After task_3,task_3,0.5940329218106996,0.04999999999999996,-0.04999999999999996,,,,0.5940329218106996,"{""task_1"": 0.08000000000000002, ""task_2"": 0.019999999999999907}","{""task_1"": -0.08000000000000002, ""task_2"": -0.019999999999999907}",{},0.5606995884773662,"{""task_1"": 0.45, ""task_2"": 0.8, ""task_3"": 0.4320987654320987}",task_3,0.4320987654320987,0.3703703703703703,0.5185185185185185,0.06172839506172839,-0.0864197530864198
42,0,Base,base,,,,0.0,task_1,0.0,0.38012345679012344,{},{},"{""task_1"": 0.0, ""task_2"": 0.0, ""task_3"": 0.0}",0.5736625514403292,"{""task_1"": 0.6, ""task_2"": 0.8, ""task_3"": 0.3209876543209876}",,,,,,
42,1,After task_1,task_1,0.6,,,0.08617283950617285,task_2,0.16000000000000003,0.554238683127572,{},{},"{""task_2"": 0.16000000000000003, ""task_3"": 0.012345679012345678}",0.5736625514403292,"{""task_1"": 0.6, ""task_2"": 0.8, ""task_3"": 0.3209876543209876}",task_1,0.6,0.25,0.25,0.35,0.35
42,2,After task_2,task_2,0.66,-0.07999999999999996,0.07999999999999996,0.1111111111111111,task_3,0.1111111111111111,0.6004938271604938,"{""task_1"": -0.07999999999999996}","{""task_1"": 0.07999999999999996}","{""task_3"": 0.1111111111111111}",0.5736625514403292,"{""task_1"": 0.6, ""task_2"": 0.8, ""task_3"": 0.3209876543209876}",task_2,0.8,0.52,0.68,0.28,0.12
42,3,After task_3,task_3,0.5769958847736625,0.004999999999999949,-0.004999999999999949,,,,0.5769958847736625,"{""task_1"": -0.010000000000000009, ""task_2"": 0.019999999999999907}","{""task_1"": 0.010000000000000009, ""task_2"": -0.019999999999999907}",{},0.5736625514403292,"{""task_1"": 0.6, ""task_2"": 0.8, ""task_3"": 0.3209876543209876}",task_3,0.3209876543209876,0.3703703703703703,0.4814814814814814,-0.04938271604938271,-0.16049382716049382
123,0,Base,base,,,,0.0,task_1,0.0,0.38012345679012344,{},{},"{""task_1"": 0.0, ""task_2"": 0.0, ""task_3"": 0.0}",0.5775720164609054,"{""task_1"": 0.55, ""task_2"": 0.8, ""task_3"": 0.382716049382716}",,,,,,
123,1,After task_1,task_1,0.55,,,0.062345679012345695,task_2,0.09999999999999998,0.5216872427983539,{},{},"{""task_2"": 0.09999999999999998, ""task_3"": 0.024691358024691412}",0.5775720164609054,"{""task_1"": 0.55, ""task_2"": 0.8, ""task_3"": 0.382716049382716}",task_1,0.55,0.25,0.25,0.30000000000000004,0.30000000000000004
123,2,After task_2,task_2,0.7,0.04999999999999993,-0.04999999999999993,0.09876543209876548,task_3,0.09876543209876548,0.6230452674897119,"{""task_1"": 0.04999999999999993}","{""task_1"": -0.04999999999999993}","{""task_3"": 0.09876543209876548}",0.5775720164609054,"{""task_1"": 0.55, ""task_2"": 0.8, ""task_3"": 0.382716049382716}",task_2,0.8,0.52,0.62,0.28,0.18000000000000005
123,3,After task_3,task_3,0.6009053497942386,0.034999999999999976,-0.034999999999999976,,,,0.6009053497942386,"{""task_1"": 0.05999999999999994, ""task_2"": 0.010000000000000009}","{""task_1"": -0.05999999999999994, ""task_2"": -0.010000000000000009}",{},0.5775720164609054,"{""task_1"": 0.55, ""task_2"": 0.8, ""task_3"": 0.382716049382716}",task_3,0.382716049382716,0.3703703703703703,0.4691358024691358,0.012345679012345678,-0.0864197530864198
