seed,step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
33,0,Base,base,0.25,0.3703703703703703,0.52
33,1,After task_3,task_3,0.28,0.1111111111111111,0.73
33,2,After task_2,task_2,0.27,0.2345679012345679,0.81
33,3,After task_1,task_1,0.6,0.1975308641975308,0.83
42,0,Base,base,0.25,0.3703703703703703,0.52
42,1,After task_3,task_3,0.28,0.1481481481481481,0.66
42,2,After task_2,task_2,0.32,0.1975308641975308,0.83
42,3,After task_1,task_1,0.66,0.2592592592592592,0.82
123,0,Base,base,0.25,0.3703703703703703,0.52
123,1,After task_3,task_3,0.3,0.2962962962962963,0.69
123,2,After task_2,task_2,0.27,0.2716049382716049,0.81
123,3,After task_1,task_1,0.6,0.3086419753086419,0.81
