seed,step,checkpoint,checkpoint_task,op,bwt,forgetting,fwt,next_task,next_fwt,avg_all_tasks,bwt_by_task,forgetting_by_task,fwt_by_task,learning_accuracy,learning_accuracy_by_task,current_task,current_acc,current_base_acc,current_prev_acc,current_delta_vs_base,adaptation_gain
33,0,Base,base,,,,0.0,task_3,0.0,0.38012345679012344,{},{},"{""task_3"": 0.0, ""task_2"": 0.0, ""task_1"": 0.0}",0.5070370370370371,"{""task_3"": 0.1111111111111111, ""task_2"": 0.81, ""task_1"": 0.6}",,,,,,
33,1,After task_3,task_3,0.1111111111111111,,,0.12,task_2,0.20999999999999996,0.3737037037037037,{},{},"{""task_2"": 0.20999999999999996, ""task_1"": 0.030000000000000027}",0.5070370370370371,"{""task_3"": 0.1111111111111111, ""task_2"": 0.81, ""task_1"": 0.6}",task_3,0.1111111111111111,0.3703703703703703,0.3703703703703703,-0.2592592592592592,-0.2592592592592592
33,2,After task_2,task_2,0.5222839506172839,0.12345679012345678,-0.12345679012345678,0.020000000000000018,task_1,0.020000000000000018,0.43818930041152265,"{""task_3"": 0.12345679012345678}","{""task_3"": -0.12345679012345678}","{""task_1"": 0.020000000000000018}",0.5070370370370371,"{""task_3"": 0.1111111111111111, ""task_2"": 0.81, ""task_1"": 0.6}",task_2,0.81,0.52,0.73,0.29000000000000004,0.08000000000000007
33,3,After task_1,task_1,0.5425102880658436,0.0532098765432098,-0.0532098765432098,,,,0.5425102880658436,"{""task_3"": 0.08641975308641969, ""task_2"": 0.019999999999999907}","{""task_3"": -0.08641975308641969, ""task_2"": -0.019999999999999907}",{},0.5070370370370371,"{""task_3"": 0.1111111111111111, ""task_2"": 0.81, ""task_1"": 0.6}",task_1,0.6,0.25,0.27,0.35,0.32999999999999996
42,0,Base,base,,,,0.0,task_3,0.0,0.38012345679012344,{},{},"{""task_3"": 0.0, ""task_2"": 0.0, ""task_1"": 0.0}",0.5460493827160494,"{""task_3"": 0.1481481481481481, ""task_2"": 0.83, ""task_1"": 0.66}",,,,,,
42,1,After task_3,task_3,0.1481481481481481,,,0.08500000000000002,task_2,0.14,0.362716049382716,{},{},"{""task_2"": 0.14, ""task_1"": 0.030000000000000027}",0.5460493827160494,"{""task_3"": 0.1481481481481481, ""task_2"": 0.83, ""task_1"": 0.66}",task_3,0.1481481481481481,0.3703703703703703,0.3703703703703703,-0.22222222222222218,-0.22222222222222218
42,2,After task_2,task_2,0.5137654320987654,0.049382716049382686,-0.049382716049382686,0.07,task_1,0.07,0.44917695473251024,"{""task_3"": 0.049382716049382686}","{""task_3"": -0.049382716049382686}","{""task_1"": 0.07}",0.5460493827160494,"{""task_3"": 0.1481481481481481, ""task_2"": 0.83, ""task_1"": 0.66}",task_2,0.83,0.52,0.66,0.30999999999999994,0.16999999999999993
42,3,After task_1,task_1,0.579753086419753,0.050555555555555534,-0.050555555555555534,,,,0.579753086419753,"{""task_3"": 0.11111111111111108, ""task_2"": -0.010000000000000009}","{""task_3"": -0.11111111111111108, ""task_2"": 0.010000000000000009}",{},0.5460493827160494,"{""task_3"": 0.1481481481481481, ""task_2"": 0.83, ""task_1"": 0.66}",task_1,0.66,0.25,0.32,0.41000000000000003,0.34
123,0,Base,base,,,,0.0,task_3,0.0,0.38012345679012344,{},{},"{""task_3"": 0.0, ""task_2"": 0.0, ""task_1"": 0.0}",0.5687654320987655,"{""task_3"": 0.2962962962962963, ""task_2"": 0.81, ""task_1"": 0.6}",,,,,,
123,1,After task_3,task_3,0.2962962962962963,,,0.10999999999999996,task_2,0.16999999999999993,0.42876543209876544,{},{},"{""task_2"": 0.16999999999999993, ""task_1"": 0.04999999999999999}",0.5687654320987655,"{""task_3"": 0.2962962962962963, ""task_2"": 0.81, ""task_1"": 0.6}",task_3,0.2962962962962963,0.3703703703703703,0.3703703703703703,-0.07407407407407401,-0.07407407407407401
123,2,After task_2,task_2,0.5408024691358024,-0.024691358024691357,0.024691358024691357,0.020000000000000018,task_1,0.020000000000000018,0.4505349794238683,"{""task_3"": -0.024691358024691357}","{""task_3"": 0.024691358024691357}","{""task_1"": 0.020000000000000018}",0.5687654320987655,"{""task_3"": 0.2962962962962963, ""task_2"": 0.81, ""task_1"": 0.6}",task_2,0.81,0.52,0.69,0.29000000000000004,0.1200000000000001
123,3,After task_1,task_1,0.5728806584362139,0.006172839506172811,-0.006172839506172811,,,,0.5728806584362139,"{""task_3"": 0.012345679012345623, ""task_2"": 0.0}","{""task_3"": -0.012345679012345623, ""task_2"": -0.0}",{},0.5687654320987655,"{""task_3"": 0.2962962962962963, ""task_2"": 0.81, ""task_1"": 0.6}",task_1,0.6,0.25,0.27,0.35,0.32999999999999996
